EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
10769107,PLEASANT GROVE BAPTIST CHURCH COMMUNITY DEVELOPMENT CORPORATION,% LOUIS FORSYTHE,13651 DEQUINDRE ST,DETROIT,MI,48212-2171,0,3,3,1000,200408,1,15,0,1,1,201112,0,0,2,0,12,0,0,0,L20,
10790394,FOCUS HOPE REVITALIZATION,% MARTHA SCHULTZ,1355 OAKMAN BLVD,DETROIT,MI,48238-2849,0,3,3,1000,200309,1,17,0,1,1,201309,4,4,1,0,9,176491,119109,119109,S20,
10828186,FRESH START MINISTRIES,% CHARLES T WINFIELD,4818 COURVILLE ST,DETROIT,MI,48224-2714,0,3,3,7120,200608,1,10,0,1,1,,0,0,6,0,12,,,,X212,
10885325,HARRIET TUBMAN CENTER,,2727 2ND AVE STE 220,DETROIT,MI,48201-2675,0,3,3,1000,200809,1,15,0,1,1,201412,4,4,1,0,12,279889,377248,377248,B90,
10897469,SERVICE EMPLOYEES INTERNATIONAL UNION,,2604 FOURTH STREET 2ND FLOOR,DETROIT,MI,48201-2546,647,5,9,3000,194311,2,0,264000000,5,1,201312,6,8,1,0,12,1715745,12076651,12059891,,SEIU HEALTHCARE MICHIGAN
10931020,HANDYMAN MINISTRIES,% TIMOTHY D ADDY JR,15215 MACK AVE,DETROIT,MI,48224-3321,0,3,3,1000,201012,1,15,0,1,1,201412,4,3,1,0,12,146090,97990,97990,P50,
10959104,ESAN ASSOCIATION OF MICHIGAN USA,% PLYMOUTH MI,PO BOX 35625,DETROIT,MI,48235-0625,0,3,3,1000,201206,1,15,0,1,1,201312,1,1,2,0,12,5049,3176,3176,K30,
16209149,KENNETH E LINDSAY FOUNDATION TR,% COMERICA BANK & TRUST NA,PO BOX 75000,DETROIT,MI,48275-7874,0,3,3,1000,200305,1,4,0,2,1,201312,5,4,0,1,12,788042,164026,,T30,
16217452,ELLIOT HEALTH SYSTEM PROF & GEN LIAB INS TRUST,% COMERICA BANK TRUSTEE,PO BOX 75000,DETROIT,MI,48275-0001,0,3,3,1000,200701,1,17,0,2,1,201306,6,5,1,0,6,3631334,624546,624546,E11,
20606865,CAREFIRST COMMUNITY HEALTH SERVICES,% DAISY BARLOW-SMITH,8097 DECATUR ST,DETROIT,MI,48228-2721,0,3,3,2000,200302,1,15,0,1,1,201409,4,4,1,0,9,111210,443911,443911,B99,
20610352,GREATER MT TABOR NON PROFIT,,3011 W GRAND BLVD STE 222,DETROIT,MI,48202-3042,0,3,3,1000,200211,1,15,0,1,1,201112,1,3,1,0,12,5567,96562,96562,P20,
20647494,THE YOUTH CONNECTION INC,% GRENAE D DUDLEY,4777 E OUTER DR,DETROIT,MI,48234-3241,0,3,3,1200,200305,1,15,0,1,1,201312,4,6,1,0,12,215157,1149502,1149502,O05,
20648628,NEXTENERGY CENTER,% LORI KOENIG,461 BURROUGHS ST,DETROIT,MI,48202-3419,0,3,3,1200,200309,1,15,0,1,1,201309,8,7,1,0,9,20234354,6300694,6281643,C35,
20682814,DETROIT HOUSING GROUP,% GWENDOLYN LEWIS,2146 MARLBOROUGH ST,DETROIT,MI,48215-2533,0,3,3,1000,200305,1,15,0,1,1,201212,0,0,2,0,12,0,0,0,B90,
20692465,CHRISTIAN NEW LIFE OUTREACH MINISTRIES,% MAL GRAVES,14474 FAIRMOUNT DR,DETROIT,MI,48205-1274,0,3,3,7000,200407,1,10,0,1,1,,0,0,6,0,12,,,,X21,
20700841,FAITH FAMILY OUTREACH SERVICES,% CARMEN FULTS,897 PHILIP ST,DETROIT,MI,48215-2935,0,3,3,1000,200406,1,15,0,1,1,201312,0,0,2,0,12,0,0,0,P20,
20702899,CHURCH WITH A VISION,% BERNICE I PARKER,14822 CLOVERLAWN ST,DETROIT,MI,48238-1811,0,3,3,7000,200407,1,10,0,1,1,,0,0,6,0,12,,,,X20,
20717047,DETROIT CHRISTIAN ASSEMBLY,% JOSSY CHERIAN,12065 W OUTER DR,DETROIT,MI,48223-2508,0,3,3,7000,200409,1,10,0,1,1,,0,0,6,0,12,,,,X21,
20720180,COLLINS MEMORIAL COMMUNITY SERVICE INC,% JOHN L COLLINS,590 PARKVIEW DR APT 001,DETROIT,MI,48214-4191,0,3,3,1000,201308,1,15,0,1,1,201312,0,0,2,0,12,0,0,0,P80,
20724834,POSITIVE INFLUENCE INC,% JANICE NEWSOME,21150 MOROSS ROAD SUITE 1A,DETROIT,MI,48236-2033,0,3,3,1000,200503,1,15,0,1,1,201312,0,0,2,0,12,0,0,0,E70,
20728822,OMANKANE THE COLLECTIVE,% MARGARET JAMES,17357 WASHBURN ST,DETROIT,MI,48221-2440,0,3,3,1200,200411,1,15,0,1,1,201312,3,4,1,0,12,31903,203315,203315,P30,
20733394,RESEARCH FOUNDATION FOR THE CITY UNIVERSITY OF NEW YORK,% EDWARD KALAYDJISN,PO BOX 75000,DETROIT,MI,48275-3462,0,9,3,1000,200509,2,0,0,2,1,201312,9,9,1,0,12,105557455,50403245,36029887,Y43,
20735413,LOVE OF CHRIST CHRISTIAN CENTER,% MICHAEL DEXTER,19185 WYOMING ST,DETROIT,MI,48221-3219,2650,3,9,7000,197507,1,10,1000000,5,1,,0,0,6,0,1,,,,,
20776835,GREATER PEACE MISSIONARY BAPTIST CHURCH,% DONALD SHAW,13345 MACK AVE,DETROIT,MI,48215-2420,0,3,3,7000,200611,1,10,0,1,1,,0,0,6,0,12,,,,X20,
20785610,CHARITY INC,% STEVE ESSENBURG,17220 KELLY RD,DETROIT,MI,48224-1581,0,3,3,1000,201202,1,15,0,1,1,201412,0,0,2,0,12,0,0,0,S20,
20795267,THE ARK ASSOCIATION,% KAREN L GATES,PO BOX 13280,DETROIT,MI,48213-0280,0,3,3,1200,200811,1,15,0,1,1,201209,0,0,2,0,9,0,0,0,P20,
30267056,CHILDRENS EDUCATION AND SPECTATOR SPORTS,,3118 HARRISON ST,DETROIT,MI,48216-1207,0,3,3,1000,200501,1,15,0,1,1,201412,0,0,2,0,12,0,0,0,P30,
30397262,WISE VIRGINS MINISTRIES,% REV DR CALANTHA ASARE,PO BOX 14087,DETROIT,MI,48214-0087,0,3,3,7000,200207,1,15,0,1,1,201312,0,0,2,0,12,0,0,0,X84,
30488178,GREATER WORKS CHRISTIAN MINISTRIES,% JANICE M CARSON,16589 WARWICK ST,DETROIT,MI,48219-4015,0,3,3,7000,200311,1,10,0,1,1,,0,0,6,0,12,,,,X21,
30527225,EXPLOSION DELIVERANCE MINISTRY,% TANIA MOORE,5388 LINSDALE ST,DETROIT,MI,48204-3692,0,3,3,7000,200510,1,10,0,1,1,,0,0,6,0,12,,,,X20,
30544362,MBAISE CULTURAL ASSOCIATION MICHIGAN,% SIMEON C OHAKPO,CO 18230 W MCNICHOLS ST,DETROIT,MI,48219-0000,0,3,3,1200,200612,1,15,0,1,1,201412,0,0,2,0,12,0,0,0,B82,
30575465,METRO DETROIT BARBER COLLEGE,% RAYMOND WARE,7443 W MCNICHOLS RD,DETROIT,MI,48221-2650,0,3,3,1000,200905,1,15,0,1,1,201312,1,3,1,0,12,4446,53741,53741,B90,
30590725,DEVINE FELLOWSHIP OF CHURCHES INTERNATIONAL,% BERNARD CANNON,17580 SANTA BARBARA DR,DETROIT,MI,48221-2529,8100,3,9,7000,199603,1,10,1029000,5,1,,0,0,6,0,12,,,,X202,FAITH BASE AMERICAN CANCER PROVIDER
30596948,MODEST FOUNDATION,% MODEST FOUNDATION,15819 SCHOOLCRAFT ST,DETROIT,MI,48227-1749,0,3,3,1000,201406,1,15,0,1,1,201412,0,0,2,0,12,0,0,0,T30,
30597186,WESLEY CHAPEL MISSIONARY BAPTIST CHURCH INC,% GROVER L DOTSON JR,1807 CONCORD ST,DETROIT,MI,48207-3605,0,3,3,1700,200609,1,10,0,1,1,,0,0,6,0,12,,,,X21,
43117196,ANTIOCH TEMPLE CHURCH OF CAMBRIDGE INC,,PO BOX 38425,DETROIT,MI,48238-0425,0,3,3,7000,199108,1,10,1000000,1,1,,0,0,6,0,12,,,,,
43555494,LOVELL CHARITABLE FDN RES,% COMERICA BANK & TRUST NA TRUSTEE,PO BOX 75000,DETROIT,MI,48275-7874,0,3,3,1000,200210,1,4,0,1,1,201312,6,6,0,1,12,2774701,1395682,,T22,
43626408,HISPANIC LATINO MISSION SOCIETY OF MICHIGAN,% GREGORY M LORENZ,1450 MCKINSTRY ST,DETROIT,MI,48209-2456,0,3,3,1720,200306,1,15,0,1,1,201312,4,0,2,0,12,272015,0,0,T12,LATINOLATINO MISSION SOCIETY
43669404,J & V MANAGEMENT CONSULTING FIRMS,% VALORIE MERRIWETHER,600 FAIRVIEW ST,DETROIT,MI,48214-3232,0,3,3,1000,201408,1,15,0,1,1,201312,1,1,2,0,12,4000,8000,8000,J20,
43682556,LOVE LIFE FAMILY CHRISTIAN CENTER CHURCH,% KEVIN W LANCASTER,500 WOODWARD AVE STE 4000,DETROIT,MI,48226-5403,0,3,3,7000,200306,1,10,0,1,1,,0,0,6,0,12,,,,X20,
43701688,HARDEN FOUNDATION,% MAURICE T HARDEN,PO BOX 38216,DETROIT,MI,48238-0216,0,3,3,1000,200304,1,4,0,1,1,201312,1,1,0,1,12,1,1,,T20,
43728231,INTERNATIONAL UNION UNITED AUTO AEROSPACE & AGRICULTURAL WORKERS,,8000 E JEFFERSON AVE,DETROIT,MI,48214-3963,427,5,9,3000,194106,2,0,263000000,5,1,201403,1,0,2,0,3,1,0,0,,9 REGION NY TRAINING INITIATIVE
43792853,RUTH R EDRINGTON CHARITABLE FOUNDATION,% COMERICA BANK TTEE,PO BOX 75000,DETROIT,MI,48275-9413,0,3,3,1000,200312,1,4,0,1,1,201410,4,4,0,1,10,484740,444633,,T22,COMERICA BANK TTEE
43798223,UNITY URBAN MINISTERIAL SCHOOL,% RUTH M MOSLEY-HALL,5555 CONNER ST STE 1214,DETROIT,MI,48213-3911,2062,3,9,2700,197002,1,10,59029000,5,1,,0,0,1,0,12,,,,,
43839224,KRAINZ WOODS NEIGHBORHOOD ORGANIZATION,% BYRON MIMMS,PO BOX 34229,DETROIT,MI,48234-0229,0,3,3,1000,201504,1,15,0,1,1,,0,0,2,0,12,,,,S20,
43846767,YOUNG L O V E,% JANET BANKS-MCELRATH,2236 HYDE PARK RD,DETROIT,MI,48207-4964,0,3,3,1000,200702,1,15,0,1,1,201402,0,0,2,0,2,0,0,0,O50,
43847510,AMERICAN ISLAMIC ALLIANCES INC,% MAHMOUD HAZIME,8091 OHIO ST,DETROIT,MI,48204-3235,0,3,3,7200,200904,1,10,0,1,1,,4,5,0,0,12,,,,X21,
46186980,GROVER GRONIN MEMORIAL FOUNDATION,% COMERICA BANK & TRUST NA CUSTODIA,PO BOX 75000,DETROIT,MI,48275-7874,0,3,3,1000,196812,1,4,602040000,2,1,201312,4,2,0,1,12,212933,14804,,,
50527450,H O P E-HELPING OTHERS PERFECT ENTREPRENEURSHIP,% RUTH M MCKENZIE,PO BOX 38231,DETROIT,MI,48238-0231,0,3,3,1000,200612,1,15,0,1,1,201312,0,0,2,0,12,0,0,0,S43,
50552850,CONTINUATION OF OUR LORD JESUS CHRIST CHURCH,% BOBBY WYATT,10090 MAPLELAWN ST,DETROIT,MI,48204-2508,0,3,3,3000,200410,1,10,0,1,1,,0,0,6,0,12,,,,X20,
50564425,COMMUNITY H E L P INC,% LESLIE MCCLENIC,38 ADELAIDE ST,DETROIT,MI,48201-3111,0,3,3,1000,200307,1,4,0,1,1,201412,1,1,0,1,12,1,1,,E70,
50582357,WORLD CHANGERS COMMUNITY ALLIANCE,% LENNELL D CALDWELL,22575 W 8 MILE RD,DETROIT,MI,48219-4418,0,3,3,1000,200410,1,4,0,1,1,201312,1,1,0,1,12,1,700,,L25,
50607609,CATHERINE A MCLAUGHLIN FUND,% COMERICA BANK,PO BOX 75000,DETROIT,MI,48275-7874,0,3,3,1000,200701,1,17,0,1,1,201406,4,2,2,0,6,352843,19416,9524,X11,
50624505,NEW GREATER CHRIST BAPTIST CHURCH,% WILLIAM O THOMPSON,5972 LENOX ST,DETROIT,MI,48213-3568,0,3,3,7000,200703,1,10,0,1,1,,0,0,6,0,12,,,,X20,
50632576,GODS MISSION OF LOVE CHURCH,% MICHAEL TURNER,19748 MANSFIELD ST,DETROIT,MI,48235-2331,0,3,3,7000,200704,1,10,0,1,1,,0,0,6,0,12,,,,X21,
50632809,ROYAL RYDERZ,% LATRELLE D MCNAIRY,PO BOX 211104,DETROIT,MI,48221-5104,0,3,3,1200,200707,1,15,0,1,1,201412,0,0,2,0,12,0,0,0,O50,
61435372,FREDRICK G SAMPSON FOUNDATION,% FREDA G SAMPSON,736 LOTHROP RD,DETROIT,MI,48202-2715,0,3,3,7000,201406,1,15,998000000,1,1,201212,1,1,2,0,12,2231,1040,1040,X12,
61678110,FOUNTAIN OF LIFE OUTREACH MINISTRIES,,728 CONNER ST,DETROIT,MI,48215-3225,8240,3,9,7000,199712,1,10,1000000,0,1,,0,0,6,0,12,,,,,GENESIS FAITH PNTCSTL HOUSE OF PRAY
61704283,GODS OLDSCHOOL MINISTRY INC,% CATHY LONG,18633 JOHN R ST,DETROIT,MI,48203-2058,0,3,3,1700,200512,1,10,0,0,1,,0,0,6,0,12,,,,X20,
61706683,BIBLE BELIEVING BAPTIST CHURCH INTERNATIONAL,% JEWEL ROBERSON,16921 W 8 MILE RD,DETROIT,MI,48235-2138,0,3,3,1000,200403,1,10,0,1,1,,0,0,6,0,12,,,,X21,
61712183,SINGLE PARENT OF CHILDREN FOUNDATION,% DAFC DERRICK,5004 31ST ST,DETROIT,MI,48210-2537,0,3,3,1000,200407,1,15,0,1,1,201312,0,0,2,0,12,0,0,0,P42,SPOC
61741222,GIFT OF A HELPING HAND CHARITABLE AID FOUNDATION,% CATHY P RUSSELL,17148 WALTHAM ST,DETROIT,MI,48205-3156,0,3,3,1000,200508,1,15,0,1,1,201312,3,4,1,0,12,84441,142817,142817,B90,
61743046,UNITY CHURCH OF URBAN MINISTERIAL INC,% RUTH M MOSLEY HALL,5555 CONNER STE 1412,DETROIT,MI,48213-3448,0,3,3,7000,200504,1,10,0,1,1,,0,0,6,0,12,,,,X20,
61744841,BRIGHTMOOR ALLIANCE INC,,17421 TELEGRAPH RD,DETROIT,MI,48219-3165,0,3,3,1000,200705,1,15,0,1,1,201312,4,5,1,0,12,378288,876139,876139,P80,
61767648,HISTORIC ST JAMES MISSIONARY BAPTIST CHURCH,% REGINALD B WILLIAMS,PO BOX 21638,DETROIT,MI,48221-0638,0,3,3,7000,200804,1,10,0,1,1,,0,0,6,0,12,,,,X21,
61804750,THE@GLORIOUS CHURCH OF THE APOSTOLIC FAITH,% MELISSA BALLARD,15798 LIVERNOIS AVE,DETROIT,MI,48238-0000,0,3,3,1000,201312,1,10,0,1,1,,0,0,6,0,12,,,,X20,
66200793,MATHILDA GUNNARD & VICTOR PETERSON TRUST FUND FOR SWEDISH EVANGELICAL,% FLEET NATL TAX TTEE,PO BOX 75000,DETROIT,MI,48275-7874,0,3,3,1000,197609,1,4,602000000,2,1,201312,5,3,0,1,12,573111,93666,,,
113028663,RIVKIN RADLER ET AL MEDICAL BENEFIT TRUST,% JPMORGAN CHASE,PO BOX 75000,DETROIT,MI,48275-3462,0,9,3,1000,199211,0,0,265000000,2,1,201312,3,6,1,0,12,33570,3180197,3180197,,CZELADNICKI PAUL TTEE
113714221,FRANCIES NONPROFIT HOUSING COMMUNITY DEVELOPMENT CORPORATION,,11765 PIERSON ST,DETROIT,MI,48228-1022,0,3,3,1000,200503,1,4,0,1,1,201412,1,1,0,1,12,1,1,,L25,
113718000,BLACK PRIDE SOCIETY INC,% HENRY C MILLBOURNE,PO BOX 4054,DETROIT,MI,48204-0054,0,3,3,2000,200601,1,15,0,1,1,200908,2,3,0,0,8,12694,38687,38687,B01,
113754940,DR ALBERT B CLEAGE SR MEMORIAL HEALTH CENTER,% MELANIE ROBY,700 SEWARD ST,DETROIT,MI,48202-2427,0,3,3,1000,200609,1,12,0,1,1,201312,0,0,2,0,12,0,0,0,E30,
113761327,CHANCE FOR LIFE ORGANIZATION,% THOMAS J ADAMS,660 WOODWARD AVE STE 2450,DETROIT,MI,48226-3528,0,3,3,1000,201412,1,15,0,1,1,,0,0,2,0,12,,,,Z99,
113771988,ASSOCIATION FOR YOUTH EMPOWERMENT,% JEAN RITOK,11324 BRAMELL,DETROIT,MI,48239-1347,0,3,3,2000,200608,1,15,0,1,1,201406,2,2,2,0,6,24532,21558,21558,B80,
113784346,THOMAS ANDREW AND KATHRYN DORSEY FOUNDATION,% DR ELON ELONI WILKS,23001 GRAND RIVER AVE,DETROIT,MI,48219-3130,0,3,3,1000,200702,1,15,0,1,1,201406,0,0,2,0,6,0,0,0,B90,
113796592,WCCCD SCHOLARSHIP COMMITTEE,% MIRZA F AHMED,801 W FORT ST,DETROIT,MI,48226-3010,0,3,3,2000,200711,1,17,0,1,1,201406,5,3,2,0,6,913563,28340,28340,B11,
113811151,HOPEFUL ALTERNATIVE SERVICES INC,% ANNETTE PERRY,PO BOX 441621,DETROIT,MI,48244-1621,0,3,3,1000,201001,1,16,0,1,1,201309,0,0,2,0,9,0,0,0,P70,
113815914,LITTLEFIELD COMMUNITY ASSOCIATION INC,% SANDRA D PICKENS,18701 GRAND RIVER AVE 118,DETROIT,MI,48223-2214,0,3,3,1000,201411,1,15,0,1,1,201412,0,0,2,0,12,0,0,0,P20,
113821497,URBAN YOUTH PROGRAM,% ISAAC DEGRAFFENREID,PO BOX 23393,DETROIT,MI,48223-0393,0,3,3,2100,200907,1,15,0,1,1,201312,0,0,2,0,12,0,0,0,O53,
113834946,DERRICK COMMUNITY DEVELOPMENT & HUMAN SERVICES,% CASSANDRA L DERRICK,5004 31ST ST,DETROIT,MI,48210-2537,0,3,3,1000,200904,1,16,0,1,1,201312,0,0,2,0,12,0,0,0,P75,
116604985,OBA NEWS RESEARCH CENTER,% PAULA WATSON,4 E ALEXANDRINE ST APT 515,DETROIT,MI,48201-2036,0,3,3,1000,200909,1,15,0,1,1,201412,0,0,2,0,12,0,0,0,A80,BROYLES WILLIAM JR GEN PTR
131549125,AMERICAN BOARD OF DERMATOLOGY INC,% MARGARET AGUIAR,1 FORD PL,DETROIT,MI,48202-3450,0,6,3,2000,194505,2,0,59205000,1,1,201312,7,6,1,0,12,9463839,2723319,2723319,,
132672028,MARTIN TREPEL FOUNDATION INC,% PRICEWATERHOUSECOOPERS LLP,500 WOODWARD AVE ONE DETROIT CENTER,DETROIT,MI,48226-0000,0,3,3,1000,197103,1,4,561000000,1,1,201312,1,1,0,1,12,406,520,,,
133946384,HARRY H AND ANN L PERSE FAM FOUNDATION INC,% COMERICA BANK TR TAX ATTN MC 7874,PO BOX 75000,DETROIT,MI,48275-0001,0,3,3,1000,199708,1,4,602000000,1,1,201303,3,1,0,1,3,87658,891,,T20J,COHEN DANIEL S
134209971,ESTHER HOUSE MINISTRIES,% JUANITA CURRY,18112 GREENLAWN ST,DETROIT,MI,48221-4510,0,3,3,7000,200410,1,10,0,1,1,,0,0,6,0,12,,,,X21,
134260479,DETROIT FIREMENS BENEVOLENT FUND,% EDWARD S VEDA,1301 THIRD AVENUE ROOM 329,DETROIT,MI,48226-2503,0,3,3,1000,200309,1,16,0,1,1,201312,4,4,1,0,12,310938,117153,32276,B82,
134285856,TRUE LIFE COMMUNITY CULTURAL CENTER INC,% LOVELL CANNON JR,803 S COTTRELL ST,DETROIT,MI,48209-2804,0,3,3,1000,201408,1,15,0,1,1,201312,0,0,2,0,12,0,0,0,P30,
134358351,ROCK CF FOUNDATION,% EMILY SCHALLER,2990 W GRAND BLVD STE M21,DETROIT,MI,48202-3041,0,3,3,1000,200708,1,15,0,1,1,201312,3,4,1,0,12,71860,284654,153550,T120,
136041301,J D ROCKEFELLER JR TR FBO AMERICAN BAPTIST CHURCHES-METROPOLITAN NY 2,% COMERICA BANK,PO BOX 75000,DETROIT,MI,48275-7874,0,3,3,7000,197109,1,16,29000000,2,1,201312,5,4,1,0,12,646162,318081,29059,,
136042776,J D ROCKEFELLER JR TR FBO AMERICAN BAPTIST CHURCHES OF METRO NY 1,% COMERICA BANK,PO BOX 75000,DETROIT,MI,48275-7874,0,3,3,7000,197109,1,17,29000000,2,1,201312,6,6,1,0,12,4626875,2835215,307439,,
136056765,ARMENIAN GENERAL BENEVOLENT UNION,% COMERICA BANK TR TAX DEPT,PO BOX 75000,DETROIT,MI,48275-0001,3313,3,9,1000,195911,1,15,32000000,5,1,,0,0,1,0,12,,,,,TRUST ERANOUKI KAISERLIAN
137140153,ARTHUR LEON HORNIKER TR UW,% COMERICA BANK & TRUST NA TRUSTEE,PO BOX 75000,DETROIT,MI,48275-7874,0,3,3,1000,200012,1,4,0,1,1,201312,4,3,0,1,12,152277,91157,,T20,MERBAUM NEAL ET AL TTEE
137579997,ROSE P LISHNER PRIVATE FOUNDATION 40-625176215483,% COMERICA BANK-TR TAX MC 7874,PO BOX 75000,DETROIT,MI,48275-7874,0,3,3,1000,200804,1,3,0,2,1,201312,6,6,0,1,12,2720649,2223685,,T20,
141926570,DETROIT ARTISTS WORKSHOP,% LENI SINCLAIR,20245 KLINGER ST,DETROIT,MI,48234-1773,0,3,3,1200,200803,1,15,0,1,1,201306,0,0,2,0,6,0,0,0,A25,
141965851,LAKESHORE ECONOMIC COALITION INC,% JESSICA J HOWELL,7310 WOODWARD AVE 5TH FLOOR,DETROIT,MI,48202-3165,0,3,3,1000,200708,1,15,0,1,1,201312,0,0,2,0,12,0,0,0,S31,
142003443,UMUELE AMAZANO AUTONOMOUS COMMUNITY,% CHRISTOPHER NNAJI,18685 OAKFIELD ST,DETROIT,MI,48235-3060,0,3,3,1000,200903,1,15,0,1,1,201412,0,0,2,0,12,0,0,0,P60,
152386301,EXCELLENCE FOR DETROIT INCORPORATED,% DYLAN TANNER,PO BOX 5742,DETROIT,MI,48205-0742,0,3,3,1000,201109,1,15,0,1,1,201412,0,0,2,0,12,0,0,0,B80,
161644941,PRINCETON DEVELOPMENT NONPROFIT HOUSING CORPORATION,% VENCIE R JACKSON,16216 W 7 MILE RD,DETROIT,MI,48235-2905,0,3,3,2100,200307,1,16,0,1,1,201312,1,0,2,0,12,1,0,0,L21,
