EIN,name
20724834,POSITIVE INFLUENCE INC
20728822,OMANKANE THE COLLECTIVE
20733394,RESEARCH FOUNDATION FOR THE CITY UNIVERSITY OF NEW YORK
20735413,LOVE OF CHRIST CHRISTIAN CENTER
20776835,GREATER PEACE MISSIONARY BAPTIST CHURCH
20785610,CHARITY INC
20795267,THE ARK ASSOCIATION
30267056,CHILDRENS EDUCATION AND SPECTATOR SPORTS
30397262,WISE VIRGINS MINISTRIES
30488178,GREATER WORKS CHRISTIAN MINISTRIES
30527225,EXPLOSION DELIVERANCE MINISTRY
30544362,MBAISE CULTURAL ASSOCIATION MICHIGAN
30575465,METRO DETROIT BARBER COLLEGE
30590725,DEVINE FELLOWSHIP OF CHURCHES INTERNATIONAL
30596948,MODEST FOUNDATION
30597186,WESLEY CHAPEL MISSIONARY BAPTIST CHURCH INC
43117196,ANTIOCH TEMPLE CHURCH OF CAMBRIDGE INC
43555494,LOVELL CHARITABLE FDN RES
43626408,HISPANIC LATINO MISSION SOCIETY OF MICHIGAN
43669404,J & V MANAGEMENT CONSULTING FIRMS
43682556,LOVE LIFE FAMILY CHRISTIAN CENTER CHURCH
43701688,HARDEN FOUNDATION
43728231,INTERNATIONAL UNION UNITED AUTO AEROSPACE & AGRICULTURAL WORKERS
43792853,RUTH R EDRINGTON CHARITABLE FOUNDATION
43798223,UNITY URBAN MINISTERIAL SCHOOL
43839224,KRAINZ WOODS NEIGHBORHOOD ORGANIZATION
43846767,YOUNG L O V E
43847510,AMERICAN ISLAMIC ALLIANCES INC
46186980,GROVER GRONIN MEMORIAL FOUNDATION
50527450,H O P E-HELPING OTHERS PERFECT ENTREPRENEURSHIP
50552850,CONTINUATION OF OUR LORD JESUS CHRIST CHURCH
50564425,COMMUNITY H E L P INC
50582357,WORLD CHANGERS COMMUNITY ALLIANCE
50607609,CATHERINE A MCLAUGHLIN FUND
50624505,NEW GREATER CHRIST BAPTIST CHURCH
50632576,GODS MISSION OF LOVE CHURCH
50632809,ROYAL RYDERZ
61435372,FREDRICK G SAMPSON FOUNDATION
61678110,FOUNTAIN OF LIFE OUTREACH MINISTRIES
61704283,GODS OLDSCHOOL MINISTRY INC
61706683,BIBLE BELIEVING BAPTIST CHURCH INTERNATIONAL
61712183,SINGLE PARENT OF CHILDREN FOUNDATION
61741222,GIFT OF A HELPING HAND CHARITABLE AID FOUNDATION
61743046,UNITY CHURCH OF URBAN MINISTERIAL INC
61744841,BRIGHTMOOR ALLIANCE INC
61767648,HISTORIC ST JAMES MISSIONARY BAPTIST CHURCH
61804750,THE@GLORIOUS CHURCH OF THE APOSTOLIC FAITH
66200793,MATHILDA GUNNARD & VICTOR PETERSON TRUST FUND FOR SWEDISH EVANGELICAL
113028663,RIVKIN RADLER ET AL MEDICAL BENEFIT TRUST
113714221,FRANCIES NONPROFIT HOUSING COMMUNITY DEVELOPMENT CORPORATION
113718000,BLACK PRIDE SOCIETY INC
113754940,DR ALBERT B CLEAGE SR MEMORIAL HEALTH CENTER
113761327,CHANCE FOR LIFE ORGANIZATION
113771988,ASSOCIATION FOR YOUTH EMPOWERMENT
113784346,THOMAS ANDREW AND KATHRYN DORSEY FOUNDATION
113796592,WCCCD SCHOLARSHIP COMMITTEE
113811151,HOPEFUL ALTERNATIVE SERVICES INC
113815914,LITTLEFIELD COMMUNITY ASSOCIATION INC
113821497,URBAN YOUTH PROGRAM
113834946,DERRICK COMMUNITY DEVELOPMENT & HUMAN SERVICES
116604985,OBA NEWS RESEARCH CENTER
131549125,AMERICAN BOARD OF DERMATOLOGY INC
132672028,MARTIN TREPEL FOUNDATION INC
133946384,HARRY H AND ANN L PERSE FAM FOUNDATION INC
134209971,ESTHER HOUSE MINISTRIES
134260479,DETROIT FIREMENS BENEVOLENT FUND
134285856,TRUE LIFE COMMUNITY CULTURAL CENTER INC
134358351,ROCK CF FOUNDATION
136041301,J D ROCKEFELLER JR TR FBO AMERICAN BAPTIST CHURCHES-METROPOLITAN NY 2
136042776,J D ROCKEFELLER JR TR FBO AMERICAN BAPTIST CHURCHES OF METRO NY 1
136056765,ARMENIAN GENERAL BENEVOLENT UNION
137140153,ARTHUR LEON HORNIKER TR UW
137579997,ROSE P LISHNER PRIVATE FOUNDATION 40-625176215483
141926570,DETROIT ARTISTS WORKSHOP
141965851,LAKESHORE ECONOMIC COALITION INC
142003443,UMUELE AMAZANO AUTONOMOUS COMMUNITY
152386301,EXCELLENCE FOR DETROIT INCORPORATED
161644941,PRINCETON DEVELOPMENT NONPROFIT HOUSING CORPORATION
161680532,CIRCLE OF FRIENDS YOUTH FOUNDATION
161685729,STAR OF HOPE SUPPORT SERVICES INC
161685803,BAITUL MUKARRAM MASJID INC
161686157,FLAME OF FIRE MINISTRY
161702062,BREAKING THE STRONG HOLD MINISTRIES
161736943,CHILDREN OF DESTINY INTERNATIONAL MINISTRIES
161740332,ST PATRICKS COLLEGE CALABAR IKOTANSA ALUMNI ASSOCIATION
161744136,CHAPEL VISION COMMUNITY DEVELOPMENT CORPORATION
200012084,NEW LIFE MINISTRY
200016596,NEW COVENANT MISSIONARY BAPTIST CHURCH
200112266,FREEDOM INSTITUTE FOR ECONOMIC SOCIAL JUSTICE & PEOPLE EMPOWERMEN
200114468,P W COMMUNITY DEVELOPMENT NONPROFIT HOUSING CORPORATION
200156511,METRO HEALTHCARE SERVICES INC
200209229,NEIGHBORHOOD FIRST INC
200321756,CARING HEARTS INTERNATIONAL
200383453,HOPE CENTER INC
200471790,DTE ENERGY COMPANY VEBA TR
200631006,WAYNE COUNTY SAFE PROGRAM
200832233,DAVID L HEAD FOUNDATION
200926399,LOOKING FOR MY SISTER
200964420,GREATER TREE OF LIFE MISSIONARY BAPTIST CHURCH
200966861,PILGRIM VILLAGE ASSOCIATION
201115291,JESSIE GREEN FOUNDATION INC
201115618,STATE VOICES
201117268,TIGER SHARKS SWIM TEAM OF DETROIT
201132303,AXEMEN FIRE FIGHTERS MOTORCYCLE CLUB
201218112,QUALITY SOLUTIONS COMMUNITY DEVELOPMENT CORPORATION
201221368,REBUILDING COMMUNITIES INC
201230250,BLACK WOMEN LAWYERS FOUNDATON OF MICHIGAN
201272745,PEOPLE ENRICHING EMPOWERING PEOPLE SERVICES & HOUSING CORPORATION
201311803,LIONS HEARING CENTER OF MICHIGAN
201312417,MARKET STUDIO KITCHEN
201353851,IN THE TRENCHES COMMUNITY OUTREACH NONPROFIT HOUSING CORPORATION
201369812,THOMPSON LAND DEVELOPMENT NONPROFIT HOUSING CORPORATION
201388507,BLOOD COVENANT CHURCH OF GOD IN JESUS CHRIST
201420919,ALEX HILL MINISTRIES INC
201436271,CHURCH OF GOD OF DETROIT
201439822,RESURRECTION CHRISTIAN CENTER
201454054,FERNDALE PROPERTIES INC
201535256,LORAINE AND MELINESE REUTER FOUNDATION
201538570,WAYS TO WORK OF MICHIGAN
201649466,BARBARA ANN KARMANOS CANCER HOSPITAL
201813565,DETROIT RED WINGS ALUMNI ASSOCIAION INC
201851865,RHEMA WORD INTERNATIONAL CHURCH
201871752,G E FUNDING
201907851,MONTEITH ELEMENTARY SCHOOL PARENT TEACHER ORGANIZATION
201962397,VESSELS UNTO HONOR
202002730,NATIONAL ASSOCIATION OF BUFFALO SOLDIERS MOTORCYLE CLUB OF MICHIGA
202005066,LECESTER AND MATTIE ALLEN FAMILY FOUNDATION
202044660,NEW CREATURE IN CHRIST APOSTOLIC FAITH CHURCH INC
202110720,SEE THE CROSS ROAD MINISTRIES INTERNATIONAL INC
202170572,ELLIAS DALLEN FOUNDATION
202263326,ST PAUL OF THE CROSS PASSIONIST RETREAT CENTER INC
202309264,ZION MEMORIAL CHAPEL
202333719,VOICES OF DETROIT INITIATIVE
202462203,WILLIAM CLAY FORD JR SCHOLARSHIP FUND
202491224,FULL GOSPEL CHRISTIAN CHURCH
202539890,CONSIDINE LITTLE ROCK LIFE CENTER
202593806,DETROIT MIDTOWN MICRO-ENTERPRISE FUND CORPORATION
202724952,GROSSE POINTE SOUTH BAND AND ORCHESTRA BOOSTERS
202736344,DRIKER FAMILY FOUNDATION
202765881,CURTIS L IVERY LITERACY FOUNDATION
202810238,DOWNRIVER MARRIAGE RESOURCE CENTER
202852167,CITY OF PRAISE COMMUNITY DEVELOPMENT CORPORATION
202902551,WEST FORT ST BAPTIST CHURCH
202948116,FRIENDS OF THE GROSSE POINTE PARADE
202961579,ST JOHN HOSPITAL FOUNDATION
202988335,LAHTI FAMILY FOUNDATION 6203301 0840197
203046372,HIGHER GROUND MINISTRIES
203099071,UNITED WAY FOR SOUTHEASTERN MICHIGAN
203122770,MICHIGAN ROUNDTABLE FOR DIVERSITY AND INCLUSION
203145459,TOASTMASTERS INTERNATIONAL
203194127,SOUTHEAST MICHIGAN COMMUNITY RESOURCE CENTER INC
203195370,WILLIAM JOCHOS FOUDATION
203217564,TOASTMASTERS INTERNATIONAL
203221715,GREEKTOWN PRESERVATION SOCIETY
203224298,TOASTMASTERS INTERNATIONAL
203293913,THE QURAN INSTITUTE OF AMERICA
203324568,THETA NU XI MULTICULTURAL SORORITY INC
203341412,PHILLIP AND ELIZABETH FILMER MEMORIAL CHARITABLE TRUST
203347478,SUMMER JAM DAY CAMP
203347549,HEALTHY KIDZ R US
203522839,CITADEL COMMUNITY DEVELOPMENT CORPORATION
203640869,DETROIT MOTTEP FOUNDATION
203658279,TOASTMASTERS INTERNATIONAL
203660790,WTCDW LANGUAGES INSTITUTE INC
203821302,HISTORIC ELMWOOD FOUNDATION
203828329,MECHANICAL CONTRACTORS ASSOCIATION OF DETROIT
203872376,MUSEUM OF CONTEMPORARY ART DETROIT
203978699,CHRISTIAN FELLOWSHIP OF LOVEBAPTIST CHURCH
204013487,VISION C
204105276,ONE LIFE JUVENILE DIVERSION PROGRAMINC
204431012,LEND-A-HAND INC
204454454,WORD IN ACTION CHRISTIAN CENTER
204507746,SISTERS ACQUIRING FINANCIAL EMPOWERMENT
204515384,UNIFIED TECHNOLOGY AND AGRICULTURALPROGRAM
204767807,HENRY AND MARY ELLEN BELLAIMEYFOUNDATION
204775521,BIZDOM
204786626,S A Y DETROIT
204842616,CHI-CHI GROUP HOME INCOPORATED
204895181,NEW DIRECTION LEARNING CENTER
204932056,FATHER WILLIAM T CUNNINGHAMMEMORIAL CHOIR
204955782,CHRISTIAN BUSINESS NETWORK CENTER INC
204981277,HORATIO WILLIAMS FOUNDATION
204986314,LAKERIDGE VILLAGE INC
204995900,FOUNDATION FOR COMMUNITYINSPIRATION CORPORATION
205010831,JTD IMPACT CENTER
205022888,GET BACK UP INC
205092424,THE@REDEEMED CHRISTIAN CHURCH OF GOD NA INC CORNERSTONE BIBLE
205151562,ARLINGTON GROUP INC
205173303,JOHN E PESSIN PRIVATE FOUNDATION
205175642,YOUNG LEADERS INITIATIVE
205184989,ANNABELLE FOUNDATION
205208686,HELPING OPERATIONS FOR PEOPLEEMPOWERMENT
205498662,UNIVERSITY COMMONS ORGANIZATION
205504318,ROCK CHURCH INTERNATIONAL
205528478,WISCONSIN AVENUE CHURCH OF GOD SECOND
205570543,ALPHA FOUNDATION INTERNATIONAL
205629050,REAL PARK HELP
205654069,CORKTOWN BOMMUNITY DEVELOPMENT FUND
205747367,NATIONAL FEDERATION FOR JUSTCOMMUNITIES
205764501,MICHIGAN COMMUNITY RESOURCES
205857258,EMETC INC
205888294,WILLIAM F AND DORIS W OLIVERFOUNDATION
205890899,MIRIAMS WELL - BEER MIRIAM
205906435,PILLAR OF LOVE CHRISTIAN CENTER INC
205935041,MECHANICAL CONTRACTORS APPRENTICE- SHIP & TRAINING REIMBURSEMENT FUND
205939710,GODS CITY OF REFUGE CHURCH
205945261,C L A S S CHANGING LIVES
205970413,WORD HARVEST MINISTRIESINTERNATIONAL
205998051,AMERICAN FEDERATION OF LABOR & CONGRESS OF INDUSTRIAL ORGS
206148240,RICHARD H AND VIOLA B THORP CHARITABLE TR FOUNDATION
206375162,WILLIAM A RUNNELS III CHARITABLE TR
206439805,BETSE S STRAUB CHARTIBLE REMAINDER ANNUITY TR
206975298,THE@LAVERE LEONARD AND GLADYS LORAINE CHASE SCHOLARSHIP FUND
206996945,JOACHIM E LAY CHARITABLE PRIVATE FOUNDATION
207017740,MARILYN M WATKINS CHARITABLEPRIVATE FOUNDATION
207022957,THE LATTIN FAMILY FOUNDATION
207097647,A PAUL AND CAROL C SCHAAPFOUNDATION
207302290,TOLBY SUPPORTING ORGANIZATIONENDOWMENT TRUST ARIZONA
208016180,DETROIT FOUNDATION OF ARCHITECTSCONTRACTORS AND ENGINEERS INC
208053876,ONE STEP AHEAD INC
208076441,IMPILO INC
208088875,ST MARTHAS SENIOR HOUSINGCORPORATION
208161311,GREEN MEADOWS OUTREACH MINISTRIES
208163982,MICHIGAN CONSUMER VOICE
208218201,WEST INDIAN AMERICAN ASSOCIATION OFMICHIGAN INC
208246560,JWATT FOUNDATION INC
208254577,CHRISTIAN VICTORY CHURCH MINISTRIESINCORPORATED
208332845,PREVISION WITHSTANDING INCORPORATED
208466348,LUTHERAN NONPROFIT HOUSING COPRPORATION-CALVARY
208503691,INSURANCE TRUST FOR DELTA RETIREES
208601943,PRECIOUS CARE GROUP INC
208629577,RHEMA HOUSE OF DELIVERANCEINTERNATIONAL INC
208636189,EDUCATIONAL ESCAPADES
208647939,NORTHWESTERN HIGH SCHOOL ALUMNIASSOCIATION OF DETROIT MICHIGAN
208734122,MANA DE METRO DETROIT
208734410,TRUE ROCK COMMUNITY OUTREACH
208746418,MICHIGAN COMPREHENSIVE SERVICENETWORK
208782733,PFRS GLENWOOD PLAZA CORP
208794470,GAMMA LAMBDA COMMUNITY DEVELOPMENT CORPORATION
208853459,GRS RIVER PLACE CORP
208988331,NIGERIAN AMERICAN ISLAMIC COMMUNITYOF MICHIGAN
208991829,GLORIA PRUETT MINISTRIES
215731524,WHAT WE DO FOR THE LOVE OF PETS
222900856,COALITION OF LABOR UNION WOMEN CLUW
223008923,COALITION OF LABOR UNION WOMEN CLUW
223859304,NEW GREATER ZION TEMPLE CHURCH OF THE APOSTOLIC FAITH
226855593,RAYMOND V ATTANASIO IRRV CHARITABLE TR
226866487,TRIXIE PUFF FOUNDATION
226866488,CAESAR PUFF FOUNDATION 848-74C69
237007629,SWANSON FOUNDATION
237010672,UNITED SPIRITUAL BROTHERHOOD OF THE DIVINE TRUTH CHURCH
237015428,MOORE COMMUNITY COUNCIL
237025655,REVEREND MARY LOU BROWN EVANGELISTIC MINISTRIES INC
237027766,BIBLE GOSPEL MISSION
237044124,YORK RITE SOVEREIGN COLLEGE OF NORTH AMERICA
237047489,MT VALLEY MISSIONARY BAPTIST CHURCH
237050983,TAU BETA PI ASSOCIATION INC
237060963,AMERICAN FEDERATION OF LABOR & CONGRESS OF INDUSTRIAL ORGS
237067164,WALTER AND MAY REUTHER MEMORIAL FUND
237076750,ALICE WHITE MURPHY MEMORIAL CHURCH A CHURCH OF DELIVERANCE
237078037,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES
237080478,WAYNE STATE UNIVERSITY
237088459,SOCIETY FOR NEUROSCIENCE
237091225,UNIVERSAL CIRCLE OF LIGHT
237092002,NEW HARMONY BAPTIST CHURCH
237093962,PEOPLES MISSIONARY BAPTIST CHURCH INCORPORATED
237097995,ASSOCIATION OF RETIREES WIVES AND WIDOWS OF LOCAL 58 IBEW
237100463,ST COLUMBA CHURCH
237101167,BUSINESS LEADERS FOR MICHIGAN FOUNDATION
237104008,ORGANIZATION OF SCHOOL ADMINISTRATORS & SUPERVISORS
237104227,APOSTOLIC ASSEMBLIES OF CHRIST INC
237105898,BETHEL CHURCH OF THE APOSTOLIC FAITH
237107591,NEW JERUSALEM MISSIONARY BAPT CHURCH
237107599,EAST LAKE BAPTIST CHURCH
237109951,NORTHWEST CHURCH OF GOD IN CHRIST INCORPORATED
237120673,DAVISON AVENUE CHURCH OF CHRIST
237133965,HOMES FOR BLACK CHILDREN
237137385,AMERICAN LEGION AUXILIARY
237142950,CARDINAL MERCIER ASSEMBLY 0515
237145334,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES
237151753,CHAPEL HILL SENIOR CITIZEN RETIREMENT CENTER
237156442,THEODORE LEVIN MEMORIAL FOUNDATION
237161056,CHURCH IN DETROIT
237165974,EXODUS MISSIONARY BAPTIST CHURCH
237165979,HOLY CROSS BAPTIST CHURCH
237166930,CANFIELD WEST-WAYNE PRESERVATION ASSOCIATION INC
237167602,EFFORT INC
237170178,FULL GOSPEL CHURCH OF THE SONS OF GOD
237173624,FAITH TEMPLE FULL GOSPEL CHURCH
237176837,CHILDREN MATTER FOREVER
237179440,CENTRAL ALLIANCE CHURCH OF DETROIT
237181178,SHAR SELF HELP ADDICTION REORIENTATION FOUNDATION
237187083,CHRIST CHURCH OF THE HOUR
237191203,FAITH TABERNACLE REVIVAL CENTER
237193163,GREINER AVENUE CHURCH OF CHRIST
237194516,AMERICAN ASSOCIATION OF UNIVERSITY PROFESSORS WAYNE STATE UNIVERSITY
237195075,TERRAZZO INDUSTRY FUND
237198603,CITIZENS FOR BETTER CARE INSTITUTE INC
237202283,BIBLE STUDENTS OF NORTHWEST DETROIT CONGREGATION
237217421,HOLY TRINITY RUSSIAN ORTHODOX CHURCH
237217800,CHURCH OF GOD IN CHRIST
237218942,ASSOCIATION OF MEDICAL SCHOOL MICROBIOLOGY CHAIRMEN
237227057,DETROIT RETIRED CITY EMPLOYEES ASSOCIATION
237230610,NEW ST JOHN MISSIONARY BAPTIST CHURCH
237236996,ZION CHURCH OF GOD
237237658,MOUNTAIN DISTRICT YMCA TRUST
237238328,M-R NON PROFIT HOUSING CORP
237241196,BEULAH FIRST MISSIONARY BAPTIST CHURCH
237241219,EAST MICHIGAN ENVIRONMENTAL ACTION COUNCIL INC
237241778,AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES
237243421,AMERICAN CIVIL LIBERTIES UNION FUND OF MICHIGAN
237246925,GREATER EBENEZER MISSIONARY BAPTIST CHURCH
237248158,FIRST CHURCH OF THE REDEEMED INTERDENOMINATIONAL
237252517,MASJID MOSQUE AS-SALAAM ORTHODOX ISLAMIC MOVEMENT
237255961,UNIVERSAL MEDITATION RESOURCE CENTER
237267503,TRUE GOSPEL TABERNACLE CHURCH OF DETROIT
237269970,DETROIT SYMPHONY ORCHESTRA ENDOWMENT TRUST FUND
237270667,SAINT JOHNS UNIVERSAL NON-DENOMINATIONAL CHURCH
237276430,GREATER PROGRESSIVE M B C
237278991,HEALING WATERS TABERNACLE
237287046,NATIONAL ASSOCIATION OF BLACK ACCOUNTANTS
237288454,CHRISTIAN METHODIST EPISCOPAL CHURCH
237293602,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES
237294577,SECOND EBENEZER BAPTIST CHURCH
237295642,GRACE REFUGE CHAPEL
237295694,CHURCH OF GOD AND SAINTS OF CHRIST
237296076,SHIELD OF FAITH MINISTRIES
237299667,HAMPTON MEMORIAL CHURCH AND DAY CARE CENTER
237305906,ASSOCIATION OF UNIVERSAL TRUTH INTERNATIONAL INC
237310753,ACCOUNTING AID SOCIETY
237325954,UNITED SPIRITUAL KINGDOM INC
237327518,UNIVERSAL CHURCH OF PRAYER INC
237328773,LAWRENCE S CHARFOOS CHARITABLE FOUNDATION
237329510,DISABLED AMERICAN VETERANS AUXILIARY INC
237337343,GARDEN OF GETHSEMANE CHURCH OF GOD IN CHRIST
237348118,BELLE ISLE CONSERVANCY
237352190,BETA ALPHA PSI NATIONAL COUNCIL
237365341,OUR LADY QUEEN OF HEAVEN LOCOMOTIVE CLUB
237377648,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES
237377830,PREGNANCY AID INC OF EASTERN WAYNE COUNTY
237379360,NEW BRIDE BAPTIST CHURCH
237383042,HENRY FORD HEALTH SYSTEM FOUNDATION
237383477,MICHIGAN LEGAL SERVICES
237390927,DEL HARDER REHABILITATION FUND
237398850,NEW FELLOWSHIP MISSIONARY BAPTIST CHURCH
237399603,QUEENS COMMUNITY WORKERS INC
237404625,2ND EVERGREEN MISSIONARY BAPTIST CHURCH
237404706,INTERNATIONAL UNION UNITED AUTO AEROSPACE & AGRICULTURAL WORKERS
237409555,TRINITY CHURCH OF HOLINESS
237414950,EPIPHANY LUTHERAN CHURCH
237420459,NORTHEAST GUIDANCE CENTER PROPERTIES INC
237422939,HENRY & SIDNEY T DAVENPORT EDUCATIONAL FUND
237431396,DETROIT FEDERATION OF TEACHERS MEMORIAL SCHOLARSHIP FUND
237435239,GENERAL ASSEMBLY OF THE IMMORTAL DELIVERANCE CENTER
237441737,SOUTHEAST MICHIGAN CENTER FOR MEDICAL EDUCATION
237511626,FREE & ACCEPTED MASONS OF MICHIGAN
237511627,FREE & ACCEPTED MASONS OF MICHIGAN
237511628,FREE & ACCEPTED MASONS OF MICHIGAN
237511703,FREE & ACCEPTED MASONS OF MICHIGAN
237511922,FREE & ACCEPTED MASONS OF MICHIGAN
237512037,FREE & ACCEPTED MASONS OF MICHIGAN
237512084,FREE & ACCEPTED MASONS OF MICHIGAN
237512116,FREE & ACCEPTED MASONS OF MICHIGAN
237533006,PILLAR OF FIRE DETROIT
237533512,KNIGHTS OF PETER CLAVER
237540656,LUTHERAN WOMENS MISSIONARY LEAGUE
237614936,GOLDEN STAR CHAPTER 80
237614943,MARY MAGDALENE CHAPTER 39 O E S
237614949,PARADISE BEULAH CHAPTER 57 16
237614953,QUEEN OF TYREE CHAPTER NO 35
237614954,ROSE MARIE CHAPTER 33 ORDER OF THE EASTERN STAR
237614958,SARAI NEW HARMONY 178
237614962,UNITY LOVE MIRIAM CHAPTER 66 OES
237614963,VICTORIA CHAPTER 17
237614964,VICTORY STAR CHPT 30 BETHLEHEM CHP 20
237614965,ZION STAR ONE
240804258,THE EPISCOPAL CHURCH PUBLISHING COMPANY
251906074,F F T P
251919369,UNITED IN THE BODY OF CHRIST
251924074,MOZELLAS HOME AFC
251924126,SMYRNA MISSIONARY BAPTIST CHURCH
256887650,GUNZBURGER FOUNDATION 6520873443
260000496,SISTERS NETWORK
260009074,L & L ADULT DAY CARE INC
260135914,TRUE LIGHT APOSTOLIC FAITH TEMPLE
260184868,JUST
260243523,INTERNATIONAL DELIVERANCEMINISTRIES
260271946,CASS CLINIC
260313743,KINCANNON CAREER SERVICES
260338846,PERFECTING HOLDINGS
260356043,MINORITY HEALTH COALITION
260423456,GREAT LAKES MANUFACTURING COUNCILINC
260514357,TOASTMASTERS INTERNATIONAL
260551102,GREATER LOVE CHRISTIAN CENTER INC
260661327,FASTBREAKING FOR JESUS MINISTRIES
260714921,MAN POWER MENTORING INC
260730096,BIZDOM U FUND
260733283,HOUSE OF JESUS GLORIOUS ASSEMBLES OF THE APOSTOLIC FAITH
260837092,REAL ESTATE DONATIONS USA
260891192,UAW RETIREE HEALTH AND WELFAREBENEFITS TRUST
260895961,REDEEM CHURCH OF GOD IN CHRIST
261174760,PRAYER SCHOOL HOUR
261215853,ZURI MONAE INTERVENTION SERVICES
261241451,KNIGHTS OF COLUMBUS
261352370,SANKOFA YOUTH AGENDA
261475158,BOLD RIGHT LIFE
261476029,CULTURESOURCE
261526879,NEW LIFE DELIVERANCE CENTER FOR PROSPEROUS LIVING
261578630,DANIALLE KARMANOS WORK IT OUT INC
261651058,INTERCULTURAL CONSULTATION SERVICES
261685110,HARING FAMILY FOUNDATION
261693944,CREATIVE URBAN EDUCATION INC
261719978,PFRS JEFFERSON AVENUE CORP
261795474,OUR GLOBAL KIDS
261829556,ISLAMIC CENTER OF HAMTRAMCK
261844555,FRIENDS OF DETROIT SCHOOL OF ARTS
261851238,FRIENDS OF THE UNIVERSITY OF WINDSOR
261899228,FAITH ASSOCIATION OF MINISTRIES INTERNATIONAL
261901995,ADIUVO URBAN SERVICES
262036918,COMMUNITY HEALTH OUTREACH INTERVENTION & CLINICAL ENGAGEMENT
262153428,CENTRAL CHRISTIAN METHODIST EPISCOPAL CHURCH
262189142,PAUL JENKINS JR FOUNDATION
262209200,KEEPING THE DREAM ALIVE
262296175,YOUNG NATION
262310566,M-1 RAIL
262352026,F & J SERVICES
262354203,LX ENDORSEMENT INC
262367271,REDEFINE LIFE FOUNDATION
262409220,PROFESSIONAL CARE INITIATIVES
262418132,PFRS CROSSROADS CORP
262518642,TEEN HYPE
262589947,AQUACULTURE RESEARCH CORPORATION
262605087,GREAT LAKES TOY CLUB INC
262610204,FRIENDS OF DETROIT COMMUNITY HEALTH CONNECTION INC
262659116,DETROIT AREA ART DECO SOCIETY
262664365,ALLENCO ENRICHMENT CENTER INC
262675713,FAITH RESTORATION MINISTRIES
262780679,R & R ELECT LADIES HOME
262902050,BRANDON SPIGHT SCHOLARSHIP FUND
262932780,MICHIGAN NEONATAL BIOBANK
262935239,DEWAYNE R HAYES LAW ENFORCEMENT OFFICERS AND YOUTH SUPPORT FOUNDAT
262939716,NUL LEASEHOLD HOLDING I INC
262994633,DETROIT CRISTO REY HIGH SCHOOL CORPORATE WORK STUDY PROGRAM INC
263034084,CARL CRAIG FOUNDATION
263144403,WARRIORS ON WHEELS OF METROPOLITAN DETROIT
263165353,MIDWEST RESOURCE DEVELOPMENT AGENCY INC
263176934,DETROIT CRISTO REY HIGH SCHOOL INC
263217860,PENTECOSTAL HOUSE OF JUDAH
263315239,HOPE COMMUNITY OUTREACH AND DEVELOPMENT
263365037,COMMUNITY & HOME SUPPORTS
263371502,PALABRA DE VIDA
263392128,A PLACE OF REFUGE
